SeriousDlqin2yrs,age,NumberOfTime3059DaysPastDueNotWorse,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime6089DaysPastDueNotWorse,NumberOfDependents,RevolvingUtilizationOfUnsecuredLines,DebtRatio,credit_score
0.0,56,1,3714.0,6,0,0,0,0.0,0.147047386,0.1144010769999999,662
0.0,35,0,3900.0,8,0,1,0,2.0,0.982232725,0.799282235,705
0.0,39,0,12660.0,9,0,2,0,2.0,0.13653642,0.267040518,758
0.0,71,0,3500.0,5,0,0,0,0.0,0.045505408,0.021708083,756
0.0,59,0,3000.0,5,0,0,0,1.0,0.030994834,0.279240253,740
0.0,36,0,6250.0,5,0,0,0,2.0,0.331857323,0.0974244119999999,735
0.0,78,0,3000.0,6,0,0,0,0.0,0.010645886,0.00733089,695
0.0,52,0,6757.0,8,0,0,0,0.0,0.203162247,0.112755253,720
0.0,40,0,3734.0,8,0,1,0,1.0,0.0,0.387416332,704
0.0,57,0,10833.0,9,0,2,0,0.0,0.023634829,0.21515599,760
0.0,39,0,3000.0,10,0,2,0,4.0,0.180268138,0.342885705,771
0.0,59,0,10100.0,14,0,3,0,0.0,0.0,0.352836353,661
0.0,68,0,10500.0,15,0,3,0,1.0,0.0014267,0.185220455,688
0.0,77,1,4300.0,11,0,1,0,0.0,0.176016298,0.232271565,768
0.0,45,0,3092.0,4,0,0,0,2.0,0.1272713419999999,0.03233107,710
0.0,51,0,9985.0,17,0,4,0,0.0,0.069987616,0.3892449429999999,747
0.0,54,0,2673.0,8,0,1,0,0.0,0.011597477,0.567314884,716
0.0,52,0,3500.0,8,0,0,0,0.0,0.713458281,0.343330477,714
0.0,56,0,3822.0,9,0,1,0,0.0,0.514194019,0.5398901389999999,712
0.0,49,2,5050.0,9,0,0,1,3.0,0.515429989,0.274005147,765
0.0,49,0,4647.0,14,0,3,0,0.0,0.015572167,0.341006885,677
0.0,54,0,3500.0,9,0,0,0,0.0,0.032945929,0.008283348,744
0.0,67,0,15000.0,8,0,1,0,0.0,0.107475924,0.128124792,703
0.0,46,0,16666.0,6,0,1,0,2.0,0.049677019,0.383632327,771
0.0,66,3,6000.0,16,0,1,0,0.0,0.219934321,0.98950175,739
0.0,73,0,3797.0,13,0,3,0,0.0,0.175136609,0.6079515529999999,679
0.0,64,0,6442.0,5,0,1,0,0.0,0.0,0.234362874,659
0.0,45,0,6500.0,4,0,0,0,2.0,0.500577666,0.129364713,693
0.0,40,0,6500.0,10,0,0,0,0.0,0.7888225759999999,0.4251653589999999,758
0.0,28,0,5800.0,5,0,0,0,0.0,0.092821216,0.023961386,708
0.0,47,2,14500.0,10,0,2,1,0.0,0.984595256,0.313702503,686
0.0,52,0,10000.0,10,0,1,0,0.0,0.24718235,0.1036896309999999,735
0.0,81,0,2400.0,4,0,0,0,0.0,0.033296397,0.014993753,766
0.0,67,0,5475.0,11,0,1,0,0.0,0.0179086839999999,0.133308985,768
0.0,52,0,11564.0,18,0,2,0,1.0,0.402431331,0.237527021,758
0.0,64,0,5218.0,7,0,1,0,0.0,0.044905825,0.164016095,677
0.0,38,0,12750.0,9,0,2,0,2.0,0.172173954,0.136459885,731
0.0,43,0,15550.0,7,0,2,0,2.0,0.0,0.6148157670000001,663
0.0,37,0,4367.0,8,0,0,0,4.0,0.034300951,0.121794872,732
0.0,35,0,8500.0,0,3,0,0,1.0,0.9999999,0.028937772,715
0.0,35,0,1400.0,8,0,2,0,2.0,0.600296687,1.988579586,740
0.0,60,0,10500.0,8,0,1,0,0.0,0.000446799,0.2720693269999999,714
0.0,44,0,11064.0,8,0,2,0,3.0,0.061090427,0.340352463,710
0.0,54,0,14600.0,9,0,2,0,3.0,0.209463176,0.193548387,670
